Collection, Prefab, Tier, QuestTags, Tags, ThemeTags, DuplicateRepeatDistance, ThemeRepeatDistance, X, Y, Z, YOffset, MinSleepers, MaxSleepers, AvgSleepers 
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_01,0,,wilderness,,,,42, 19, 42,-1,0,3,1.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_02,0,,wilderness,,,,42, 14, 42,-1,2,3,2.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_03,0,,wilderness,,,,42, 16, 42,-1,2,3,2.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_04,0,,wilderness,,,,42, 15, 42,-1,2,2,2.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_05,0,,wilderness,,,,42, 23, 42,-5,1,5,3.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_06,0,,wilderness,,,,42, 20, 42,-2,1,3,2.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_07,0,,wilderness,,,,42, 24, 42,-1,2,5,3.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_08,0,,wilderness,,,,42, 18, 42,-1,1,1,1.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,abandoned_house_09,0,,wilderness,,,,42, 15, 42,-1,3,3,3.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,apartments_01,4,clear/fetch/restore_power/infested,commercial,,,,42, 24, 42,-3,38,46,42.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,apartments_02,5,clear/fetch/restore_power/infested,commercial,,,,60, 81, 60,-5,160,162,161.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,apartments_03,3,clear/fetch/infested,residential,,,,42, 16, 42,-4,22,22,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,apartments_04,2,clear/fetch/infested,countryresidential,,,,42, 14, 42,-2,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,apartments_06,5,clear/fetch/restore_power/infested,commercial,,,,100, 82, 100,-10,158,160,159.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,army_barracks_01,3,clear/fetch/infested,wilderness,,,,51, 40, 97,-5,21,26,23.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,army_camp_01,4,clear/fetch/restore_power/infested,wilderness,,,,53, 28, 61,-8,40,42,41.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,army_camp_02,4,clear/fetch/restore_power/infested,wilderness,,,,54, 26, 60,-6,40,40,40.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,army_camp_03,4,clear/fetch/restore_power/infested,wilderness,,,,60, 26, 60,-6,40,40,40.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,army_camp_04,3,clear/fetch/restore_power/infested,wilderness,,,,60, 24, 60,-4,25,25,25.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,army_camp_05,4,clear/fetch/restore_power/infested,wilderness,,,,60, 30, 60,-2,43,44,43.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,auto_mechanic_01,2,clear/fetch/infested,commercial,,,,60, 17, 60,-6,17,17,17.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bank_01,2,clear/fetch/infested,commercial,,,,42, 18, 42,-9,17,17,17.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bank_02,3,clear/fetch/restore_power/infested,downtown,,,,25, 26, 25,-7,21,21,21.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,barn_01,0,,rural,,,,60, 11, 60,-1,2,3,2.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,barn_02,2,clear/fetch/infested,rural,,,,60, 15, 60,-1,10,13,11.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,barn_03,2,clear/fetch/infested,rural,,,,60, 26, 60,-3,12,14,13.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bar_01,1,clear/infested,countrytown,nodiagonal,,,,42, 10, 42,-1,6,6,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,blueberryfield_sm,0,,,,,,12, 2, 12,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bluff01,0,,biomeonly,devonly,,,,15, 10, 19,-4,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,body_shop_01,2,clear/fetch/infested,commercial,,,,42, 20, 42,-2,14,14,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bombshelter_01,2,clear/fetch/infested,countrytown,diagonal,,,,42, 34, 42,-13,14,14,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bombshelter_02,3,clear/fetch/infested,wilderness,,,,60, 30, 60,-18,23,23,23.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bowling_alley_01,4,clear/fetch/infested,commercial,,,,60, 25, 60,-4,36,43,39.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bowling_alley_02,3,clear/fetch/restore_power/infested,countrytown,nodiagonal,,,,42, 14, 42,-5,25,25,25.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_asphalt1,0,,navonly,,,,39, 11, 11,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_asphalt_broken,0,,navonly,,,,39, 16, 11,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_concrete1,0,,navonly,,,,39, 11, 11,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_end,1,,,,,,10, 9, 10,0,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_middle,1,,,,,,10, 9, 10,0,0,0,0
